,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_years,Success_rate,mean_price,host_in_sfo,licensed,top_amenities_count,host_verification_count
3599,0,100,74,t,101.0,t,t,Group1,Room in hotel,Private room,4,bath group2,1.0,2.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,0,0,5.0,4.9,4.9,4.9,5.0,f,25,2,23,0,0.29,6.2,0.2510606060606061,340.4,0.0,0.0,3,7
3600,0,100,100,t,4.0,t,t,Group1,other,Private room,2,bath group3,1.0,1.0,1,30,1.0,1.0,30.0,30.0,1.0,30.0,18,0,0,4.83,5.0,4.89,5.0,5.0,t,4,1,3,0,0.54,3.9,1.0,103.3,1.0,1.0,2,6
3601,0,100,100,t,4.0,t,t,Group1,other,Private room,2,bath group3,1.0,1.0,1,30,1.0,1.0,30.0,30.0,1.0,30.0,12,0,0,4.75,4.67,4.92,4.92,4.92,t,4,1,3,0,0.36,3.9,1.0,80.0,1.0,1.0,2,6
3602,1,95,41,t,16.0,t,t,Group1,Entire condominium (condo),Entire home/apt,4,bath group1,2.0,2.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,1,0,4.67,5.0,4.0,5.0,5.0,f,14,14,0,0,0.11,7.8,0.7134848484848485,147.0,0.0,0.0,1,8
3603,0,100,84,t,3.0,t,t,Group1,Entire guest suite,Entire home/apt,2,bath group1,1.0,1.0,1,7,1.0,1.0,1125.0,1125.0,1.0,1125.0,161,71,8,4.82,4.94,4.96,4.98,4.94,f,3,3,0,0,4.99,9.0,0.4666666666666667,156.8,1.0,1.0,2,4
3604,1,100,78,t,19.0,t,t,Group1,Entire townhouse,Entire home/apt,6,bath group1,3.0,3.0,3,90,3.0,3.0,90.0,90.0,3.0,90.0,19,8,0,4.79,5.0,4.79,4.79,5.0,f,16,16,0,0,0.57,10.4,1.0,548.9,1.0,1.0,2,6
3605,0,100,88,t,1.0,t,t,Group1,other,Entire home/apt,2,bath group1,1.0,1.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,46,17,1,4.98,4.93,5.0,5.0,5.0,f,1,1,0,0,1.42,6.3,0.19272727272727264,251.4,0.0,1.0,3,6
3606,1,100,84,f,2.0,t,t,Group1,Private room in rental unit,Private room,1,bath group2,1.0,1.0,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,1,0,0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.04,5.0,0.7365151515151516,70.0,1.0,0.0,2,5
3607,0,100,100,t,141.0,t,t,Group1,Entire serviced apartment,Entire home/apt,2,bath group1,1.0,1.0,2,7,2.0,4.0,7.0,7.0,2.0,7.0,4,0,0,5.0,5.0,4.0,5.0,5.0,t,57,57,0,0,0.14,5.7,1.0,64.3,0.0,0.0,2,8
3608,0,100,100,t,141.0,t,t,Group1,Entire condominium (condo),Entire home/apt,2,bath group1,1.0,1.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,3,0,0,5.0,5.0,5.0,5.0,5.0,t,57,57,0,0,0.09,5.7,1.0,66.8,0.0,0.0,2,8
3609,0,100,100,t,1.0,t,t,Group1,Entire condominium (condo),Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,4,4,0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.63,2.8,0.2833333333333333,150.1,0.0,0.0,4,6
3610,1,100,100,f,0.0,t,t,Group2,Entire guest suite,Entire home/apt,2,bath group1,1.0,1.0,30,60,30.0,30.0,60.0,60.0,30.0,60.0,2,1,0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.06,2.8,0.09560606060606058,98.3,1.0,0.0,2,6
3611,0,100,98,f,2433.0,t,t,Group1,Entire rental unit,Entire home/apt,4,bath group1,2.0,2.0,30,1125,31.0,730.0,1125.0,1125.0,703.6,1125.0,1,0,0,5.0,5.0,5.0,5.0,5.0,t,169,169,0,0,0.06,5.1,0.8572727272727273,262.7,0.0,0.0,2,9
3612,0,100,68,t,129.0,t,t,Group1,Room in hotel,Private room,2,bath group2,1.0,1.0,2,15,2.0,2.0,15.0,15.0,2.0,15.0,13,1,1,4.77,4.92,5.0,5.0,4.85,f,38,5,33,0,0.4,5.8,0.6,109.1,0.0,0.0,3,5
3613,1,100,99,t,0.0,t,t,Group1,Private room in residential home,Private room,2,bath group2,1.0,1.0,2,31,2.0,2.0,31.0,31.0,2.0,31.0,95,34,1,4.81,4.94,4.93,4.88,4.66,f,3,0,3,0,3.16,2.8,0.25242424242424244,57.5,1.0,1.0,3,7
3614,0,100,100,t,1.0,t,t,Group1,Private room in residential home,Private room,1,bath group4,1.0,1.0,1,300,1.0,1.0,300.0,300.0,1.0,300.0,27,26,1,4.81,4.59,4.74,4.89,4.89,t,2,0,2,0,0.93,6.8,0.20833333333333326,79.3,0.0,0.0,1,7
3615,0,100,98,f,2433.0,t,t,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,1125,31.0,730.0,1125.0,1125.0,703.9,1125.0,1,0,0,5.0,5.0,5.0,4.0,4.0,t,169,169,0,0,0.03,5.1,0.3833333333333333,217.8,0.0,0.0,2,9
3616,0,100,68,t,129.0,t,t,Group1,Room in hotel,Private room,4,bath group2,1.0,2.0,3,15,3.0,7.0,15.0,15.0,3.1,15.0,14,0,0,4.93,5.0,4.93,5.0,5.0,f,38,5,33,0,0.42,5.8,0.725,163.8,0.0,0.0,3,5
3617,0,100,100,t,1.0,t,f,Group1,Entire rental unit,Entire home/apt,3,bath group1,1.0,2.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,4,1,1,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.14,3.9,0.7736363636363637,120.0,1.0,0.0,3,2
3618,2,100,84,f,1.0,t,f,Group1,Entire condominium (condo),Entire home/apt,4,bath group1,2.0,2.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0.0,0.0,0.0,0.0,0.0,f,1,1,0,0,0.0,9.9,0.5333333333333333,150.0,1.0,0.0,2,3
3619,0,100,100,t,3.0,t,t,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,13,8,1,5.0,5.0,5.0,5.0,5.0,f,2,2,0,0,0.47,9.6,0.7107575757575758,260.0,1.0,0.0,2,7
3620,0,94,84,t,2.0,t,t,Group1,Entire residential home,Entire home/apt,5,bath group1,2.0,2.0,3,4,3.0,3.0,1125.0,1125.0,3.0,1125.0,6,0,0,4.67,4.83,5.0,5.0,5.0,t,2,1,1,0,0.18,5.3,1.0,190.0,1.0,1.0,2,9
3621,0,94,84,f,1.0,t,t,Group1,Private room in rental unit,Private room,1,bath group4,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0.0,0.0,0.0,0.0,0.0,f,1,0,1,0,0.0,8.6,0.16909090909090907,3000.0,0.0,0.0,1,8
3622,1,100,100,t,4.0,t,t,Group1,Private room in condominium (condo),Private room,1,bath group3,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,32,3,0,4.66,4.81,4.59,4.72,4.78,f,3,0,3,0,1.07,3.2,0.6289393939393939,55.6,1.0,0.0,2,4
3623,0,100,98,f,2433.0,t,t,Group1,Entire rental unit,Entire home/apt,4,bath group1,2.0,2.0,30,1125,31.0,730.0,1125.0,1125.0,709.8,1125.0,0,0,0,0.0,0.0,0.0,0.0,0.0,t,169,169,0,0,0.0,5.1,0.5583333333333333,272.4,0.0,0.0,3,9
3624,0,100,68,t,129.0,t,t,Group1,Entire serviced apartment,Entire home/apt,6,bath group1,2.0,3.0,2,10,2.0,2.0,10.0,10.0,2.0,10.0,16,0,0,4.88,4.94,4.88,4.94,5.0,f,38,5,33,0,0.51,5.8,1.0,174.4,0.0,0.0,3,5
3625,0,94,84,f,0.0,t,f,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,0,0,0.0,0.0,0.0,0.0,0.0,f,1,1,0,0,0.0,10.0,1.0,125.0,0.0,0.0,1,2
3627,0,98,99,t,18.0,t,t,Group1,Entire rental unit,Entire home/apt,1,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,12,5,0,4.67,4.58,4.75,4.83,5.0,t,1,1,0,0,0.36,5.6,1.0,120.0,1.0,0.0,2,7
